資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市立圖書館贈書處理業務,教育,提供臺北市立圖書館贈書處理業務,序號、資料類型、數量、轉贈單位、郵遞區號、地址
臺北市各學校可上網載具設備配備情形,資訊,5年內以及以上各學校可上網載具設備配備學校名稱、電腦設備數量,序號、學校類型、學校名稱、5年內桌機筆電平板設備數量【統計數值】、5年以上桌機筆電平板設備數量【統計數值】、學校小計【統計數值】
臺北市政府教育局公告資訊,教育,臺北市政府教育局公告最新消息、新聞稿與活動花絮,編號、名稱、連結、說明、調整日、機關代碼、統一編號
臺北市歷年住宅補貼受理情形統計表,社福,臺北市歷年住宅補貼受理申請戶數、計畫戶數及核定戶數情形統計表,項目、租金補貼申請戶數、租金補貼計畫戶數、租金補貼核定戶數、自購住宅貸款利息補貼申請戶數、自購住宅貸款利息補貼計畫戶數、自購住宅貸款利息補貼核定戶數、修繕住宅貸款利息補貼申請戶數、修繕住宅貸款利息補貼計畫戶數、修繕住宅貸款利息補貼核定戶數、備註
臺北市道路寬度,統計,臺北市道路寬度SHP圖檔資料(依本市都市計畫並參酌地籍位置標註路寬資訊),road_width、angle
臺北市都市設計及土地使用開發許可審議委員會幹事及委員名單,工務,"【臺北市都市設計及土地使用開發許可審議委員會】，當年度之府內委員府外委員及府內幹事名單。
每屆委員任期為當年7月1日至次年6月30日，包含各委員成員之委員會職務(在委員會內部的職稱)、姓名(本國中文姓名)、服務單位(現在任職機構或單位)、現職(現在任職機構或單位內的職務名稱)、性別(委員生理性別)",項次、委員會職務、姓名、服務單位、現職、性別、性別代碼
臺北市TWD67、TWD97之1/1000、1/5000及1/25000圖示規格表、讀圖手冊及地形資料分類編碼說明,資訊,臺北市TWD67、TWD97之1/1000、1/5000及1/25000圖示規格表、讀圖手冊及地形資料分類編碼說明，各版本及比例尺地形圖適用之圖示規格表、讀圖手冊及地形資料分類編碼說明可至地形圖數值圖檔供應系統查詢(https://map.udd.gov.taipei/67_97info.aspx),項次、縣市、縣市代碼、名稱、項目網址
臺北市住宅及都市更新中心年度預算書,都更,有關臺北市住宅及都市更新中心年度預算書資料。,行政區域代碼、行政區、統計年度、統計年度收入預算數、統計年度支出預算數、賸餘預算數、網址超連結
臺北市政府都市發展局通訊錄,資訊,臺北市政府都市發展局各單位總機及分機號碼,項次、行政區、行政區代碼、單位名稱、市話、分機
臺北市建築線指示核發數量,工務,提供臺北市近五年建築線指示核發數量,項次、統計年度、行政區、行政區代碼、核發件數
臺北市都市計畫樁位公告案數量,工務,提供臺北市近五年都市計畫樁位公告案數量,項次、統計年度、行政區、行政區代碼、公告案數
臺北市都市計畫樁位測釘數,工務,提供臺北市都市計畫樁位目前測釘數,項次、統計日期、行政區、行政區代碼、樁位數量
臺北市土地使用分區圖資,資訊,本市土地使用分區圖資,項次、行政區代碼、土地使用分區行政區、連結、備註
臺北市都市設計及土地使用開發許可審議委員會審議案通過情形,工務,臺北市都市設計及土地使用開發許可審議委員會105至113年度間，每一場召開之委員會議程序、類別、提請審查之審議案總數及其通過、未通過、未審查(會議前自行撤案或超過會議時間等)件數。,統計年度、總案次數（件）、通過案次數（件）、未通過案次數（件）、通過案次比率（％）、未通過案次比率（％）
臺北市各行政區都市設計審議案件核定數,工務,臺北市各行政區自民國105年至民國113年間申請之都審案，經過「臺北市都市設計及土地使用開發許可審議委員會」審議通過，並按期限申請核定並本府確定送發核定函公文之都審案件數。統計年度以本府公新文系統內各都審案申請之【收文日期】為準，意味110年12月31日掛件申請核定至111年1月14日完成核定程序並發送核定函之都核定定案，應計入110年度之核定函資料統計。,行政區、105年件數、106年件數、107年件數、108年件數、109年件數、110年件數、111年件數、112年件數、113年件數
臺北市通盤檢討辦理情形彙整,地政,臺北市各行政區通盤檢討進度,項次、行政區、行政區代碼、網址、市話、分機、備註
臺北市提供夜間急診或24小時營業動物醫院一覽表,農業,提供夜間急診或24小時營業動物醫院一覽表,縣市、動物醫院名稱、地址、電話、負責人
臺北市原住民身心障礙者人數,社福,提供臺北市原住民身心障礙者人數,年度、總人數、視覺障礙者人數、聽覺機能障礙者人數、平衡機能障礙者人數、聲音機能或語言機能障礙者人數、肢體障礙者人數、智能障礙者人數、重要器官失去功能者人數、顏面損傷者人數、植物人人數、失智症者人數、自閉症者人數、慢性精神病患者人數、多重障礙者人數、頑性瘨癇症者人數、因罕見疾病而致身心功能障礙者人數、其他人數、新制類別無法對應舊制類別者人數
臺北市國民中小學中途輟學學生概況,教育,111-112學年度臺北市國民中小學中途輟學學生概況,民國年、教育層別、總計、性別男[人數]、性別女[人數]、背景雙親[人數]、背景單親[人數]、背景失親[人數]、輟學原因個人因素[人數]、輟學原因家庭因素[人數]、輟學原因學校因素[人數]、輟學原因社會因素[人數]、輟學原因其他因素[人數]
臺北市水利處雨水下水道水位監測站,水利,雨水下水道水位監測站位置採用座標系統WGS84,設施編號、站名、行政區、經度、緯度
臺北市稅式支出報告,財稅,稅式支出報告,年度、項目、url、說明、資料來源
臺北市高級中等以下學校締結姊妹校資料一覽表,教育,臺北市高級中等以下學校締結姊妹校城市、交流方式,項次、單位名稱、國家、姊妹校名稱、城市、締結時間【民國年】、交流方式
臺北市稅捐稽徵處人民申請案件處理時限表,財稅,臺北市稅捐稽徵處人民申請案件項目處理時限,機關名稱、項目名稱、處理時限類別、處理時限、更新年度
臺北市政府各機關辦理統計調查概況,統計,臺北市政府各機關辦理統計調查概況時間數列統計資料,年別、主辦單位、調查名稱、調查週期、核定文號、核定日期、辦理期間、樣本回收率
臺北市噪音管制區,環保,臺北市噪音管制區圖,"序號、計畫名稱、資料名稱、資料連結、主辦機關、機關聯絡人、資料涵蓋地區、上架時間（年月）、關鍵詞、公告內容摘要
"
臺北市車輛偵測器(VD)靜態資料,交通,配合交通部即時路況資料標準v2.0提供車輛偵測器(VD)靜態資料,縣市、檔案名稱、介接網址、主要欄位說明、更新頻率
臺北市資訊可變標誌(CMS)顯示內容,交通,資訊可變標誌看板顯示資訊(原始檔案為XML格式),資料名稱、介接網址、欄位說明、檔案格式、更新頻率
臺北市稅捐統計年報,財稅,本刊資料內容包括稅收概況、稅收統計、稅源及其他、行政組織等4大項。,年度、名稱、編制年月、檔案格式、網址
臺北市用電大戶資料,環保,臺北市用電大戶相關資料。,序號、用戶名稱、縣市、縣市代碼、備註
臺北市太陽光電發電量資訊,環保,臺北市太陽光電發電量相關資訊。,行政區、月份、減碳量(公斤)、發電量(度)
臺北市老人安養暨長期照顧機構評鑑,社福,銀髮族服務_老人安養暨長期照顧機構評鑑資料,序號、機構名稱、郵遞區號、地址、電話、104年評鑑成績、105年評鑑成績、106年評鑑成績、107年評鑑成績、108年評鑑成績
臺北市內湖垃圾焚化廠營運管理及環境品質監測報告,環保,涵蓋內湖垃圾焚化廠（以下簡稱本廠）營運操作之處理物進廠及產出物出廠統計：如垃圾進廠量、焚化量、底渣及飛灰產生量，以及進出本廠之清運車輛、廚餘進廠量等統計數據。,內容摘要、焚化廠營運管理、污染防制及監測、敦親睦鄰與回饋設施及景觀維護、結論與建議及其他事項
臺北市辦理市地重劃成果,統計,臺北市辦理市地重劃成果時間數列統計資料,統計期、市地重劃別、重劃後面積/筆數[筆]、重劃後面積/面積[公頃]、重劃後土地使用情形/公共設施用地面積[公頃]、重劃後土地使用情形/可用建地面積[公頃]、地價變動情形/重劃前[元/平方公尺]、地價變動情形/重劃後[元/平方公尺]、抵費地/筆數[筆]、抵費地/面積[公頃]
臺北市自來水水源、給水地區及配水量,統計,臺北市自來水水源、給水地區及配水量時間數列統計資料,統計期、出水量數值[立方公尺]、長興[第一]淨水場配水量數值[立方公尺]、公館[第二]淨水場配水量數值[立方公尺]、雙溪[第三]淨水場配水量數值[立方公尺]、南港[第四]淨水場配水量數值[立方公尺]、陽明[第五]淨水場配水量數值[立方公尺]、直潭淨水場配水量數值[立方公尺]、十四張淨水場配水量數值[立方公尺]、地下水源配水量數值[立方公尺]、外購配水量數值[立方公尺]
臺北市自來水售水與收費概況,統計,臺北市自來水售水與收費概況時間數列統計資料,統計期、售水量數值/總計[立方公尺]、售水量數值/供水區域用水量/家庭用水[立方公尺]、售水量數值/供水區域用水量/營業用水[立方公尺]、售水量數值/供水區域用水量/機關用水[立方公尺]、售水量數值/供水區域用水量/學校用水[立方公尺]、售水量數值/供水區域用水量/市政用水[立方公尺]、售水量數值/供水區域用水量/其他用水[立方公尺]、售水量數值/支援台灣自來水公司水量[立方公尺]、配水總量售水率[%]、水費收入[元]
臺北翡翠水庫水源利用情形,統計,臺北翡翠水庫水源利用情形時間數列統計資料,統計期、總蓄水量數值[百萬立方公尺]、有效蓄水量數值[百萬立方公尺]、平均水位[公尺]、進水量數值[千立方公尺]、放水量數值[千立方公尺]、利用量數值[千立方公尺]、用水量數值[千立方公尺]、發電水量數值[千立方公尺]
臺北市錄影監視系統破獲案件,統計,"臺北市錄影監視系統破獲案件時間數列統計資料
","統計期、破獲案件數/總計[件]、破獲案件數/全般刑案/竊盜[件]、破獲案件數/全般刑案/暴力犯罪[件]、破獲案件數/全般刑案/詐欺[件]、破獲案件數/全般刑案/毀棄損壞[件]、破獲案件數/全般刑案/公共危險[件]、破獲案件數/全般刑案/其他[件]、破獲案件數/車禍案件[件]、錄影監視系統建置鏡頭數[個]
"
臺北市市立各級學校每生享有教育經費,統計,"臺北市市立各級學校每生享有教育經費時間數列統計資料
",統計期、大學[新臺幣元]、高級中等學校[新臺幣元]、高級中學[新臺幣元]、職業學校[新臺幣元]、國民中學[新臺幣元]、國民小學[新臺幣元]、幼兒園[新臺幣元]
臺北市市立各級學校游泳池概況,統計,"臺北市市立各級學校游泳池概況時間數列統計資料
",統計期、大學/有泳池學校數[所]、大學/游泳池總計座數[座]、大學冷水游泳池座數[座]、大學/溫水游泳池座數[座]、高級中等學校/有泳池學校數[所]、高級中等學校/游泳池總計座數[座]、高級中等學校/冷水游泳池座數[座]、高級中等學校/溫水游泳池座數[座]、高級中等學校/游泳檢測通過率[％]、高級中學/有泳池學校數[所]、高級中學/游泳池總計座數[座]、高級中學/冷水游泳池座數[座]、高級中學/溫水游泳池座數[座]、高級中學/游泳檢測通過率[％]、職業學校/有泳池學校數[所]、職業學校/游泳池總計座數[座]、職業學校/冷水游泳池座數[座]、職業學校/溫水游泳池座數[座]、職業學校/游泳檢測通過率[％]、國民中學/有泳池學校數[所]、國民中學/游泳池總計座數[座]、國民中學/冷水游泳池座數[座]、國民中學/溫水游泳池座數[座]、國民中學/游泳檢測通過率[％]、國民小學/有泳池學校數[所]、國民小學/游泳池總計座數[座]、國民小學/冷水游泳池座數[座]、國民小學/溫水游泳池座數[座]、國民小學/游泳檢測通過率[％]
臺北市總決算以前年度歲入來源別轉入數決算表,財稅,總決算以前年度歲入來源別轉入數決算表,年度別、科目-款、科目-項、科目-目、科目-節、科目-名稱、以前年度轉入數-應收數、以前年度轉入數-保留數、本年度減免註銷數-應收數、本年度減免註銷數-保留數、本年度實現數-應收數、本年度實現數-保留數、本年度調整數-應收數、本年度調整數-保留數、本年度未結清數-應收數、本年度未結清數-保留數、說明
臺北市總決算以前年度歲入來源別轉入數決算總表,財稅,總決算以前年度歲入來源別轉入數決算總表,年度別、科目-名稱、以前年度轉入數-應收數_金額、以前年度轉入數-保留數_金額、本年度減免註銷數-應收數_金額、本年度減免註銷數-保留數_金額、本年度實現數-應收數_金額、本年度實現數-保留數_金額、本年度調整數-應收數_金額、本年度調整數-保留數_金額、本年度未結清數-應收數_金額、本年度未結清數-保留數_金額、說明
臺北市社教活動概況,統計,臺北市社教活動概況時間數列統計資料,統計期、圖書館館數[所]、民眾閱覽室[所]、智慧圖書館[所]、自助借書站[所]、圖書館藏書冊數/總計[冊]、圖書館藏書冊數/中文[冊]、圖書館藏書冊數/外文[冊]、圖書館藏書冊數/視聽[冊]、圖書館期刊冊數/總計[冊]、圖書館期刊冊數/中文[冊]、圖書館期刊冊數/外文[冊]、圖書館電子書收藏數[種]、圖書館圖書資訊借閱人次[人次]、圖書館圖書資訊借閱冊數[冊次]、圖書館進館人次[人次]、電影教育觀賞人次[人次]、電影戲劇家數[家]、電影戲劇廳數[廳]、電影戲劇觀覽人次[人次]、運動中心座數[座]、運動中心使用人次[人次]、體育活動競賽次數[次]、體育活動競賽人次[人次]、游泳池池數[座]、游泳池入場人次[人次]
臺北市新住民人口,統計,臺北市新住民人口時間數列、按年齡別時間數列統計資料,統計期、性別、總計[人]、大陸港澳配偶[人]、外裔外籍配偶按原屬國籍/合計[人]、外裔外籍配偶按原屬國籍/越南[人]、外裔外籍配偶按原屬國籍/印尼[人]、外裔外籍配偶按原屬國籍/馬來西亞[人]、外裔外籍配偶按原屬國籍/菲律賓[人]、外裔外籍配偶按原屬國籍/泰國[人]、外裔外籍配偶按原屬國籍/日本[人]、外裔外籍配偶按原屬國籍/美國[人]、外裔外籍配偶按原屬國籍/韓國[人]、外裔外籍配偶按原屬國籍/其他國家[人]、國籍不詳[人]
臺北市毒化物告發情形,環保,臺北市毒化物告發情形。,序號、行為人名稱、告發日期、違反事實、違反法令、裁處法令、裁處金額
臺北市立各級學校決算數,教育,111-112年度臺北市立各級學校決算數,項次、民國年、高級中等學校決算數（新臺幣元）、國民中學決算數（新臺幣元）、國民小學決算數（新臺幣元）
臺北市政府警察局詐欺案件統計表,治安,臺北市政府警察局109年迄今詐欺案件統計表,年度、單位、發生件數、破獲件數、縣市
臺北市長者福利服務成果按半年別,統計,臺北市長者福利服務成果按半年別時間數列統計資料,統計期、老人居家服務人次[人次]、日間照顧服務人次[人次]、關懷服務人次[人次]、中低收入老人補助裝置假牙人數[人]、長青學苑參加人次[人次]、失能者營養餐飲服務人次[人次]、獨居老人安裝緊急救援裝置人數[人]
臺北市表揚孝行獎名單,民政,臺北市表揚孝行獎名單相關資訊,年度、縣市、類別、姓名、備註
臺北市銀髮族據點課程資訊,社福,提供臺北市銀髮族據點課程資訊,課程名稱、開課起始日期、開課結束日期、地點、電話、人數、授課老師
財團法人台北市文化基金會預算案,財稅,財團法人台北市文化基金會預算案。,民國年、名稱、主管機關、主管機關代碼、提供資料單位、檔案連結
臺北市機車優先道,交通,機車優先道資料,FNODE_、TNODE_、LPOLY_、RPOLY_、LENGTH、MAINNET_、MAINNET_ID、RDCODE、RDSELE、RDGEOM、RDTYPE、RDDWIT、RDCWN1、RDCWN2、RDCCN1、RDCCN2、RDBSEX、RDCLCC、RDCLCA、RDPARK、RDSWCD、RDTCCW、RDTCCC、RDOW、RDNAME、VELOCITY、COST、ONEWAY、FIDATE、OPDATE、OKDATE、DOC_NO、UPDATE、DOCMEMO
臺北市機車專用道,交通,機車專用道資料,FNODE_、TNODE_、LPOLY_、RPOLY_、LENGTH、MAINNET_、MAINNET_ID、RDCODE、RDSELE、RDGEOM、RDTYPE、RDDWIT、RDCWN1、RDCWN2、RDCCN1、RDCCN2、RDBSEX、RDCLCC、RDCLCA、RDPARK、RDSWCD、RDTCCW、RDTCCC、RDOW、RDNAME、VELOCITY、COST、ONEWAY、FIDATE、OPDATE、OKDATE、DOC_NO、UPDATE、DOCMEMO
臺北市調撥車道,交通,調撥車道資料,路段、起迄點、調撥時間、備註
臺北市大客車禁行路段,交通,臺北市政府轄管道路大客車禁行路段,項次、縣市別、縣市別代碼、鄉鎮市區、地址-行政區域代碼、路線路名、路線樁號及起迄地名、管制通行措施、路況概述
臺北市政府捷運工程局常見問答,交通,臺北市政府捷運工程局常見工程相關不同問題，局、處依民眾需求分類詳加說明回答等資料提供，即時更新以達解除民眾疑惑而更加了解捷運工程。,"DataSN、ArticleType、FileName、Link、Source、title、內容、日期時間、相關檔案、相關連結、title、url、相關圖片、相關影音、發布單位
"
臺北市政府捷運工程局資料盤點表,交通,臺北市政府捷運工程局暨工程處資料集使用對象、資料分類、現況、開放程度盤點明細、聯絡電話彙整,項次、資料集名稱、使用對象、資料分類、現況、開放程度、分機
臺北市已立案宗教團體點位資料,民政,臺北市已立案宗教團體點位相關資料,寺廟名稱、行政區、里、教別、祭典日期、負責人、電話、地址、X座標、Y座標
臺北市稅捐稽徵處辦理政策及業務宣導之執行情形表(單位預算),財稅,本處辦理政策及業務宣導之執行情形表,宣導項目或標題及內容、媒體類型、宣導期程、執行單位、執行金額元
臺北市113年度房屋稅開徵概況 按納稅義務人性別分,財稅,臺北市房屋稅開徵概況-按納稅義務人性別分（113年度）,行政區別、男性戶數、女性戶數、男性面積、女性面積、男性現值、女性現值
臺北市房屋折舊率及耐用年數表(自106年7月1日起實施),財稅,臺北市房屋折舊率及耐用年數表-(自106年7月1日起實施),房屋構造種類、構造別、每年折舊率、最高折舊年數、殘值率
臺北市114年度房屋稅查定,財稅,臺北市房屋稅查定（114年度）,項目別、應稅戶數、應稅本稅、應稅面積、應稅現值、免稅戶數、免稅面積、免稅現值
臺北捷運聯合開發公有不動產標售物件資料,交通,捷運開發公有不動產依捷運站別說明每戶標售金額相關資料,序號、區位代號、門牌號碼、土地座落區號、土地座落段號、土地座落地號、房屋土地持分比、車位土地持分比、土地持分比合計、建號、主建物面積㎡、陽台、雨遮、合計、共用面積不含車公㎡、產權面積㎡、產權面積坪、公設百分比%、標售底價新台幣元、應繳押標金新台幣元、車位說明
臺北捷運聯合開發不動產統一經營資訊,交通,捷運聯合開發公有不動產屬統一經營管理之區位及出租狀態等相關資料,捷運路線、捷運車站、捷運區位、建物名稱、樓層區位、門牌號碼、面積坪數、車位數量、是否收費、使用執照
臺北市銀髮族服務_互助家庭,社福,銀髮族服務_互助家庭,機關代碼、機關名稱、機構名稱、地址、電話
臺北市兒童與少年服務_兒少福利相關機構,社福,提供兒童與少年服務-兒少福利相關機構資訊,機關名稱、機構類型、機構名稱、地址、電話
臺北市銀髮族服務_老人住宅(公寓),社福,提供銀髮族服務_老人住宅(公寓)資料,機構名稱、受託單位、地址、電話、連結網址
臺北市各項稅捐劃解分配率,統計,臺北市各項稅捐劃解分配率時間數列統計資料,統計期、分配別、田賦[%]、地價稅[%]、土地增值稅[%]、房屋稅[%]、使用牌照稅[%]、屠宰稅[%]、契稅[%]、印花稅[%]、筵席稅[%]、娛樂稅[%]、所得稅[%]、遺產稅[%]、貨物稅[%]、證券交易稅[%]、營業稅[%]
臺北市委託民間設置TAS浪愛滿屋推廣動物認養計畫,農業,臺北市動物保護處與商家團體合作送養動物之家犬貓,區域、合作機構名稱、地址、電話、行動電話
臺北市污水下水道人孔,工務,臺北市污水下水道人孔資料(csv),縣市別、縣市別代碼、人孔編號、X、Y、人孔頂高程、人孔深度、竣工日期
臺北市114年度牌照稅徵績全期滯納期滿,財稅,臺北市114年度牌照稅徵績-全期滯納期滿,車種別、查定數輛數、查定數稅額、徵起數輛數、徵起數稅額、徵績輛數、徵績稅額
臺北市114年度牌照稅徵績全期徵期結束,財稅,臺北市114年度牌照稅徵績-全期徵期結束,車種別、查定數輛數、查定數稅額、徵起數輛數、徵起數稅額、徵績輛數百分比、徵績稅額百分比
臺北市稅捐稽徵處106年全功能服務櫃臺統計表,財稅,106年全功能服務櫃臺統計表,機關、項目分類、服務項目、件數、跨機關件數
臺北市稅捐稽徵處戶籍異動各分處件數,財稅,戶籍異動各分處件數表,項次、機關、項目、分處別代碼、件數
臺北市稅捐稽徵處便民服務站件數統計,財稅,受理稅務便民工作站件數統計總表,分處別\受理件數、1月、2月、3月、4月、5月、6月、7月、8月、9月、10月、11月、12月、合計
臺北市污水下水道陰井,工務,污水下水道陰井(csv),"縣市別、縣市別代碼、陰井編號、X、Y、地面高程、陰井深度、竣工日期
"
臺北市稅捐稽徵處109年度不動產買賣聯合健診件數彙總表,財稅,國地稅不動產買賣聯合健診,項目、1月、2月、3月、4月、5月、6月、7月、8月、9月、10月、11月、12月
他縣市稅捐機關代發臺北市稅捐稽徵處作業統計,財稅,他縣市稅捐機關全功能櫃檯代發本處作業統計,項次、county、113年、112年、111年
臺北市稅捐稽徵處代發他縣市稅捐機關作業統計,財稅,本處全功能櫃檯代發他縣市稅捐機關作業統計,項次、county、113年、112年、111年
臺北市節稅秘笈電子書,財稅,節稅秘笈文宣電子書資料,機關名稱、年度、說明、頁數、資料說明
臺北市地方稅簡介電子書,財稅,地方稅簡介文宣電子書,機關名稱、項次、資料說明、年度、說明
臺北市稅捐稽徵處104年度全功能服務櫃臺統計表,財稅,"機關名稱、項目分類、服務項目、件數、跨機關件數
","機關名稱、項目分類、服務項目、件數、跨機關件數
"
臺北市稅捐稽徵處103年度全功能服務櫃臺統計表,財稅,"機關名稱、項目分類、服務項目、件數、跨機關件數
","機關名稱、項目分類、服務項目、件數、跨機關件數
"
臺北市稅捐稽徵處102年度全功能服務櫃臺統計表,財稅,"機關名稱、項目分類、服務項目、件數、跨機關件數
","機關名稱、項目分類、服務項目、件數、跨機關件數
"
臺北市稅捐稽徵處101年度全功能服務櫃臺統計表,財稅,"機關名稱、項目分類、服務項目、件數、跨機關件數
","機關名稱、項目分類、服務項目、件數、跨機關件數
"
臺北市稅捐稽徵處105年度全功能服務櫃臺統計表,財稅,機關名稱、項目分類、服務項目、件數、跨機關件數,機關名稱、項目分類、服務項目、件數、跨機關件數
臺北市稅捐稽徵處107年全功能服務櫃臺統計表,財稅,機關名稱、項目分類、服務項目、件數、跨機關件數,機關名稱、項目分類、服務項目、件數、跨機關件數
113年臺北市防止新欠清理舊欠競賽成績,財稅,本市稅捐處防止新欠清理舊欠競賽成績,機關別、本年度查定淨數（金額千元）、本年度徵起數（金額千元）、本年度徵起率比、本年度徵起數得分、舊欠應清理數（金額千元）、舊欠清理數（金額千元）、舊欠清理率比、舊欠清理數得分、舊欠徵起數（金額千元）、舊欠徵起率比、舊欠徵起數得分、總分
臺北市稅捐稽徵處違章案件件數金額統計表,財稅,各稅違章案件裁罰違反法條統計,機關名稱、年度、違反法條、數量、金額
臺北市污水下水道管線,工務,污水下水道管線(csv),縣市別、縣市別代碼、管線編號、上游人孔編號、下游人孔編號、管線長度、上游管底高程、下游管底高程、竣工日期
臺北市污水下水道巷弄連接管,工務,臺北市污水下水道巷弄連接管資料(csv),縣市別、縣市別代碼、連接管編號、上游陰井編號、下游陰井編號、管線材質、管徑、管線長度
臺北市政府教育局公立國民小學課後照顧班開辦情形,教育,臺北市政府教育局112學年度第2學期公立國民小學課後照顧班開辦情形,序號、縣市、行政區、學校名稱、郵遞區號、縣市別代碼、主管機關代碼
臺北市補習學校聯絡資訊一覽表,教育,臺北市補習學校聯絡資訊國小共計16校，國中共計12校，共計28校。,"編號、辦理單位、課程內容、招生對象、開課時段、開課地點、聯絡電話、分機
"
臺北市空品淨化區資訊,環保,臺北市空氣品質淨化區位置等相關資訊,項次、基地名稱、郵遞區號、地址、管理單位
臺北市稅捐稽徵處跨區繼承查欠統計表,財稅,跨區繼承案件代辦地方稅查欠件數統計表,項目、1月、2月、3月、4月、5月、6月、7月、8月、9月、10月、11月、12月
臺北市稅捐稽徵處跨機關合作統計表,財稅,跨機關合作統計表,年度、合作機關、服務項目、單位、值
臺北市機車使用牌照稅稅額表,財稅,依使用牌照稅法第6條規定課徵,編號、縣市別代碼、機關代號、汽缸總排氣量_立方公分、機車稅額_新臺幣元
臺北市完全以電能為動力之電動機車使用牌照稅稅額表,財稅,依使用牌照稅法第6條規定課徵,縣市別代碼、機關代號、馬達最大馬力英制馬力_HP、馬達最大馬力公制馬力_PS、電動機車稅額_新臺幣元
臺北市完全以電能為動力之電動小客車使用牌照稅稅額表,財稅,依使用牌照稅法第6條規定課徵,縣市別代碼、機關代號、馬達最大馬力英制馬力_HP、馬達最大馬力公制馬力_PS、電動自用小客車稅額_新臺幣元、電動營業小客車稅額_新臺幣元
臺北市稅捐稽徵處1110年推展志願服務志工服務成果統計表,財稅,10年推展志願服務志工服務成果統計表,"項次、單位、志工人數、接受服務人次、提供服務時數
"
臺北市完全以電能為動力之電動大客車及貨車使用牌照稅稅額表,財稅,依使用牌照稅法第6條規定課徵,縣市別代碼、機關代號、馬達最大馬力英制馬力_HP、馬達最大馬力公制馬力_PS、電動大客車_每車乘人座位在十人以上者_稅額_新臺幣元、電動貨車稅額_新臺幣元
臺北市稅捐稽徵處108年全功能服務櫃台辦理件數,財稅,108年全功能服務櫃台辦理件數,機關、項目分類、服務項目、件數、跨機關件數
臺北市大客車及貨車使用牌照稅稅額表,財稅,大客車及貨車汽缸排氣量對應稅額表,縣市別代碼、機關代號、汽缸總排氣量_立方公分、大客車_每車乘人座位在10人以上者_稅額_新臺幣元、貨車稅額_新臺幣元
臺北市稅捐稽徵處110年全功能服務櫃台辦理件數,財稅,110年全功能服務櫃台辦理件數,機關、項目分類、服務項目、件數、跨機關件數
臺北市污水其他設施,統計,污水其他設施(CSV),縣市別、縣市別代碼、人孔編號、液位計型式、緯度、經度
臺北市水資源回收中心相關資訊,工務,水資源回收中心相關資訊(CSV),序號、廠別、源別、位置資訊、供水量、水質、用途、供水時間、管理單位、市話、其他、經度、緯度
臺北市污水管線工程及用戶接管工程施工位置,工務,污水管線工程及用戶接管工程施工位置(csv),項次、工程名稱、執行機關、開工日期、預定完成日期、決標金額-千元、工程位置-緯度、工程位置-經度
臺北市政府體育局所轄河濱及市區公園運動場地位置表,觀光,臺北市政府體育局所轄河濱及市區公園運動場地位置表，內容包含行政區、場地、類別、緯度、經度,行政區、場地、類別、緯度、經度
臺北市空氣品質即時污染指標,環保,提供臺北市環境保護局空氣品質監測站之即時監測值,時間、發布時間、站名代號、站名、指標物、指標值、指標等級
臺北市延慧書庫,環保,提供民眾捐贈書籍的類別及數量資訊,序號、展示場名稱、展示場地址、參觀時間、連絡電話、備註
臺北市水質監測站基本資料,環保,臺北市現有水質監測站名稱與位置,序號、測站名稱、位址、經度、緯度
臺北市社區資源回收站資訊,環保,歷年接受補助輔導社區資訊。,編號、回收站名稱、行政區、行政區代碼、地址
臺北市個案研討,社福,本市社會安全網進行個案研討數量統計,"機關名稱、機關代碼、年度、月份、案數
"
臺北市局處篩選,社福,本市社會安全網篩選個案符合跨局處(2個以上)服務之個案統計數量,機關名稱、機關代碼、年度、月份、跨局處服務之個案統計數量
臺北市精神衛生行政工作,統計,臺北市精神衛生行政工作時間數列統計資料,統計期、精神管理個案人數/ 總計、精神管理個案人數/ 松山區、精神管理個案人數/ 信義區、精神管理個案人數/ 大安區、精神管理個案人數/ 中山區、精神管理個案人數/ 中正區、精神管理個案人數/ 大同區、精神管理個案人數/ 萬華區、精神管理個案人數/ 文山區、精神管理個案人數/ 南港區、精神管理個案人數/ 內湖區、精神管理個案人數/ 士林區、精神管理個案人數/ 北投區
臺北市人口年齡中位數,統計,臺北市人口年齡中位數時間數列統計資料,統計期、年齡中位數[歲]/ 全體、年齡中位數[歲]/ 男、年齡中位數[歲]/ 女、年齡中位數增減數[歲]/ 全體、年齡中位數增減數[歲]/ 男、年齡中位數增減數[歲]/ 女
臺北市就業保險育嬰留職停薪津貼初次核付人數,統計,臺北市就業保險育嬰留職停薪津貼初次核付人數時間數列統計資料,統計期、就業保險育嬰留職停薪津貼初次核付人數[人]/ 總計、就業保險育嬰留職停薪津貼初次核付人數[人]/ 男、就業保險育嬰留職停薪津貼初次核付人數[人]/ 女、就業保險育嬰留職停薪津貼初次核付人數增減率[%]/ 總計、就業保險育嬰留職停薪津貼初次核付人數增減率[%]/ 男、就業保險育嬰留職停薪津貼初次核付人數增減率[%]/ 女
財團法人台北市文化基金會決算書,財稅,財團法人台北市文化基金會決算書。,民國年、名稱、主管機關、主管機關代碼、提供資料單位、檔案連結
臺北市水利處監視器,工務,"臺北市水利處設立之監視器位置, 提供WGS84座標",NO、站碼、站名、經度、緯度
