資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市求職、求才及推介就業人數按教育別分,勞動,臺北市求職、求才及推介就業人數-按教育別分之統計報表,項目別、求職人數新登記總計、求職人數新登記男、求職人數新登記女、求職人數有效總計、求職人數有效男、求職人數有效女、求才人數新登記、求才人數有效、求職推介就業人數新登記總計、求職推介就業人數新登記男、求職推介就業人數新登記女、求職推介就業人數有效總計、求職推介就業人數有效男、求職推介就業人數有效女、求才僱用人數新登記、求才僱用人數有效、推介人次新登記總計、推介人次新登記男、推介人次新登記女、推介人次有效總計、推介人次有效男、推介人次有效女
臺北市有效求職者未能推介就業之原因－按職業分,勞動,臺北市有效求職者未能推介就業之原因－按職業分之統計報表,項目別、總計、民意代表主管及經理人員、專業人員、技術員及助理專業人員、事務支援人員、服務及售貨工作人員、農林漁牧業生產人員、技術有關工作人員、機械設備操作及組裝人員、基層技術工及勞力工、其他
臺北市求職、求才及推介就業人數按年齡別分,勞動,臺北市求職、求才及推介就業人數-按年齡別分之統計報表,項目別、求職人數新登記總計、求職人數新登記男、求職人數新登記女、求職人數有效總計、求職人數有效男、求職人數有效女、求才人數新登記、求才人數有效、求職推介就業人數新登記總計、求職推介就業人數新登記男、求職推介就業人數新登記女、求職推介就業人數有效總計、求職推介就業人數有效男、求職推介就業人數有效女、求才僱用人數新登記、求才僱用人數有效、推介人次新登記總計、推介人次新登記男、推介人次新登記女、推介人次有效總計、推介人次有效男、推介人次有效女
臺北市就業服務處聯絡資訊,勞動,臺北市就業服務處各單位(含處內及本處外站)聯絡資訊,名稱、地區、地址、電話、網址、備註
臺北市就職求才人數及求供倍數,勞動,臺北市就職求才人數及求供倍數資料,項目別、求職人數新登記、求職人數有效、求才人數新登記、求才人數有效、求供倍數新登記、求供倍數有效
臺北市青年創業融資貸款,經濟,臺北市青年創業融資貸款。,"期間、申請件數-累計、核准件數-累計、核准金額-累計-萬元、受理機關、機關代碼
"
臺北市新生兒聽力篩檢/確診合約醫院,醫療,新生兒聽力篩檢/確診合約醫院,項次、縣市、醫事機構代碼、醫療院所名稱、地址、聯絡資訊
臺北市第3胎(含)以上鼓勵生育措施,醫療,臺北市第3胎(含)以上鼓勵生育措施。,資料集名稱、電話、分機、備註、相關資料
臺北小巨蛋場地租用資訊,交通,臺北捷運每月臺北小巨蛋場地租用資訊,廠商、租用起始日、租用結束日、活動名稱、活動類型
臺北小巨蛋主場館活動使用空間租用資訊,交通,臺北捷運每月臺北小巨蛋主場館活動使用空間租用資訊,廠商、租用起始日、租用結束日、活動名稱、租用項目
