seqno,name,filename,domainname,date,time
28,新北市政府衛生局,106年6月(中元節糖果)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B46%E6%9C%88%E3%80%90%E4%B8%AD%E5%85%83%E7%AF%80-%E7%B3%96%E6%9E%9C%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
29,新北市政府衛生局,106年6月(動物用藥鵝肉.鴨肉)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B46%E6%9C%88%E3%80%90%E5%8B%95%E7%89%A9%E7%94%A8%E8%97%A5-%E9%B5%9D%E8%82%89%E3%80%81%E9%B4%A8%E8%82%89%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
30,新北市政府衛生局,106年7月(液蛋)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B47%E6%9C%88%E3%80%90%E6%B6%B2%E8%9B%8B%E3%80%91%E7%B6%B2%E9%A0%81%E6%9D%BF.pdf,20230731,153030
31,新北市政府衛生局,106年6月(濾掛咖啡)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B46%E6%9C%88%E3%80%90%E6%BF%BE%E6%8E%9B%E5%92%96%E5%95%A1%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
32,新北市政府衛生局,106年8月(二甲基黃及二乙基黃聯合分工)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E4%BA%8C%E7%94%B2%E5%9F%BA%E9%BB%83%E5%8F%8A%E4%BA%8C%E4%B9%99%E5%9F%BA%E9%BB%83-%E8%81%AF%E5%90%88%E5%88%86%E5%B7%A5%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
33,新北市政府衛生局,106年8月(八仙果)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E5%85%AB%E4%BB%99%E6%9E%9C%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
34,新北市政府衛生局,106年8月(水血)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E6%B0%B4%E8%A1%80%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
35,新北市政府衛生局,106年8月(丙酸聯合分工)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E4%B8%99%E9%85%B8-%E8%81%AF%E5%90%88%E5%88%86%E5%B7%A5%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
36,新北市政府衛生局,106年8月(花茶)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E8%8A%B1%E8%8C%B6%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
37,新北市政府衛生局,106年8月(紙製品(內層材質與內容物直接接觸食品之部分為塑膠類者))抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E7%B4%99%E8%A3%BD%E5%93%81(%E5%85%A7%E5%B1%A4%E6%9D%90%E8%B3%AA%E8%88%87%E5%85%A7%E5%AE%B9%E7%89%A9%E7%9B%B4%E6%8E%A5%E6%8E%A5%E8%A7%B8%E9%A3%9F%E5%93%81%E4%B9%8B%E9%83%A8%E5%88%86%E7%82%BA%E5%A1%91%E8%86%A0%E9%A1%9E%E8%80%85)%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
38,新北市政府衛生局,106年8月(紙製品)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E7%B4%99%E8%A3%BD%E5%93%81%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
39,新北市政府衛生局,106年8月(動物用藥後市場)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E5%8B%95%E7%89%A9%E7%94%A8%E8%97%A5-%E5%BE%8C%E5%B8%82%E5%A0%B4%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
40,新北市政府衛生局,106年8月(動物用藥聯合分工)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E5%8B%95%E7%89%A9%E7%94%A8%E8%97%A5-%E8%81%AF%E5%90%88%E5%88%86%E5%B7%A5%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
41,新北市政府衛生局,106年8月(蔬菜)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B48%E6%9C%88%E3%80%90%E8%94%AC%E8%8F%9C%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88(1).pdf,20230731,153030
42,新北市政府衛生局,106年9月(火鍋料本局)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B49%E6%9C%88%E3%80%90%E7%81%AB%E9%8D%8B%E6%96%99-%E6%9C%AC%E5%B1%80%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88(1).pdf,20230731,153030
43,新北市政府衛生局,106年9月(即食熟食便當)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B49%E6%9C%88%E3%80%90%E5%8D%B3%E9%A3%9F%E7%86%9F%E9%A3%9F%E4%BE%BF%E7%95%B6%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
44,新北市政府衛生局,106年10月(冬至湯圓)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E5%86%AC%E8%87%B3-%E6%B9%AF%E5%9C%93%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
45,新北市政府衛生局,106年10月(包裝水重金屬)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/%E6%96%B0%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C%E8%A1%9B%E7%94%9F%E5%B1%80106%E5%B9%B410%E6%9C%88%E3%80%90%E5%8C%85%E8%A3%9D%E6%B0%B4-%E9%87%8D%E9%87%91%E5%B1%AC%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88(3).pdf,20230731,153030
46,新北市政府衛生局,106年10月(休閒食品黃橄欖.紅魷魚片)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E4%BC%91%E9%96%92%E9%A3%9F%E5%93%81-%E9%BB%83%E6%A9%84%E6%AC%96%E3%80%81%E7%B4%85%E9%AD%B7%E9%AD%9A%E7%89%87%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
47,新北市政府衛生局,106年10月(休閒食品調味豆干)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E4%BC%91%E9%96%92%E9%A3%9F%E5%93%81-%E8%AA%BF%E5%91%B3%E8%B1%86%E5%B9%B2%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
48,新北市政府衛生局,106年10月(冷凍食品蔥油餅.蛋餅皮等)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E5%86%B7%E5%87%8D%E9%A3%9F%E5%93%81-%E8%94%A5%E6%B2%B9%E9%A4%85%E3%80%81%E8%9B%8B%E9%A4%85%E7%9A%AE%E7%AD%89%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88(1).pdf,20230731,153030
49,新北市政府衛生局,106年10月(即食食品菜餚)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E5%8D%B3%E9%A3%9F%E9%A3%9F%E5%93%81-%E8%8F%9C%E9%A4%9A%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88(1).pdf,20230731,153030
50,新北市政府衛生局,106年10月(即食食品關東煮)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E5%8D%B3%E9%A3%9F%E9%A3%9F%E5%93%81-%E9%97%9C%E6%9D%B1%E7%85%AE%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88(1).pdf,20230731,153030
51,新北市政府衛生局,106年10月(動物用藥甲魚.大閘蟹)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E5%8B%95%E7%89%A9%E7%94%A8%E8%97%A5-%E7%94%B2%E9%AD%9A%E3%80%81%E5%A4%A7%E9%96%98%E8%9F%B9%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
52,新北市政府衛生局,106年10月(蛋品加工品鹹蛋黃)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E8%9B%8B%E5%93%81%E5%8A%A0%E5%B7%A5%E5%93%81-%E9%B9%B9%E8%9B%8B%E9%BB%83%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
53,新北市政府衛生局,106年10月(塑膠容器具)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E5%A1%91%E8%86%A0%E5%AE%B9%E5%99%A8%E5%85%B7%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
54,新北市政府衛生局,106年10月(農藥殘留)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B410%E6%9C%88%E3%80%90%E8%BE%B2%E8%97%A5%E6%AE%98%E7%95%99%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
55,新北市政府衛生局,106年12月(水產品動物用藥)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B412%E6%9C%88%E3%80%90%E6%B6%88%E4%BF%9D%E5%AE%98-%E6%B0%B4%E7%94%A2%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
56,新北市政府衛生局,106年12月(水餃鍋貼)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/106%E5%B9%B412%E6%9C%88%E3%80%90%E6%B0%B4%E9%A4%83%E9%8D%8B%E8%B2%BC%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
57,新北市政府衛生局,107年(母親節蛋糕專案)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E6%AF%8D%E8%A6%AA%E7%AF%80%E8%9B%8B%E7%B3%95%E5%B0%88%E6%A1%88%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
58,新北市政府衛生局,107年(自助餐專案)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E8%87%AA%E5%8A%A9%E9%A4%90%E5%B0%88%E6%A1%88%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88(1).pdf,20230731,153030
59,新北市政府衛生局,107年(食品添加物稽查專案)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E9%A3%9F%E5%93%81%E6%B7%BB%E5%8A%A0%E7%89%A9%E7%A8%BD%E6%9F%A5%E5%B0%88%E6%A1%88%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
60,新北市政府衛生局,107年(幕斯蛋糕專案)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E5%B9%95%E6%96%AF%E8%9B%8B%E7%B3%95%E5%B0%88%E6%A1%88%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
61,新北市政府衛生局,107年(端午畜肉)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88-%E7%95%9C%E8%82%89%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
62,新北市政府衛生局,107年(端午乾香菇)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88-%E4%B9%BE%E9%A6%99%E8%8F%87%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
63,新北市政府衛生局,107年(端午專案肉粽)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88%E5%B0%88%E6%A1%88-%E8%82%89%E7%B2%BD%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
64,新北市政府衛生局,107年(端午菜脯)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/%E8%8F%9C%E8%84%AF107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88-%E8%8F%9C%E8%84%AF%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
65,新北市政府衛生局,107年(端午粽子衛生標準)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88%E5%B0%88%E6%A1%88-%E8%82%89%E7%B2%BD%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
66,新北市政府衛生局,107年(端午蝦米)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88-%E8%9D%A6%E7%B1%B3%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
67,新北市政府衛生局,107年(端午醬料)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88-%E9%86%AC%E6%96%99%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
68,新北市政府衛生局,107年(端午糯米農藥殘留)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88-%E7%B3%AF%E7%B1%B3-%E8%BE%B2%E8%97%A5%E6%AE%98%E7%95%99%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
69,新北市政府衛生局,107年(端午鹹蛋黃)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88-%E9%B9%B9%E8%9B%8B%E9%BB%83%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
70,新北市政府衛生局,107年(端午鹼粽)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B4%E3%80%90%E7%AB%AF%E5%8D%88-%E9%B9%BC%E7%B2%BD%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
71,新北市政府衛生局,107年1月(水產品動物用藥)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B41%E6%9C%88%E3%80%90%E5%8B%95%E7%89%A9%E7%94%A8%E8%97%A5-%E6%B0%B4%E7%94%A2%E5%93%81%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
72,新北市政府衛生局,107年1月(年節重金屬)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B41%E6%9C%88%E3%80%90%E5%B9%B4%E7%AF%80-%E9%87%8D%E9%87%91%E5%B1%AC%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
73,新北市政府衛生局,107年1月(豬肉動物用藥)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B41%E6%9C%88%E3%80%90%E8%B1%AC%E8%82%89%E5%8B%95%E7%89%A9%E7%94%A8%E8%97%A5%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
74,新北市政府衛生局,107年1月(聯合分工牛肉)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B41%E6%9C%88%E3%80%90%E8%81%AF%E5%90%88%E5%88%86%E5%B7%A5-%E7%89%9B%E8%82%89%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
75,新北市政府衛生局,107年1月(農藥)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B41%E6%9C%88-%E8%BE%B2%E8%97%A5-%E7%B6%B2%E9%A0%81%E7%89%88.pdf,20230731,153030
76,新北市政府衛生局,107年2月(聯合分工動物用藥)抽驗名冊,https://www.health.ntpc.gov.tw/archive/health_ntpc/6/file/107%E5%B9%B42%E6%9C%88%E3%80%90%E8%81%AF%E5%90%88%E5%88%86%E5%B7%A5-%E5%8B%95%E7%89%A9%E7%94%A8%E8%97%A5%E3%80%91%E7%B6%B2%E9%A0%81%E7%89%88(2).pdf,20230731,153030
