year,months,organ,kind,number,numofpeople
106,4,新北市三重分局,總計,257,257
106,4,新北市新莊分局,總計,252,252
106,4,新北市土城分局,總計,130,130
106,4,新北市新店分局,總計,337,337
106,4,新北市蘆洲分局,總計,304,304
106,4,新北市三峽分局,總計,152,152
106,4,新北市樹林分局,總計,192,192
106,4,新北市汐止分局,總計,98,98
106,4,新北市淡水分局,總計,130,130
106,4,新北市瑞芳分局,總計,26,26
106,4,新北市金山分局,總計,3,3
106,4,新北市政府警察局,罰鍰,1747,1747
106,4,新北市板橋分局,罰鍰,292,292
106,4,新北市海山分局,罰鍰,87,87
106,4,新北市中和分局,罰鍰,205,205
106,4,新北市永和分局,罰鍰,184,184
106,4,新北市三重分局,罰鍰,170,170
106,4,新北市新莊分局,罰鍰,146,146
106,4,新北市土城分局,罰鍰,85,85
106,4,新北市新店分局,罰鍰,93,93
106,4,新北市蘆洲分局,罰鍰,211,211
106,4,新北市三峽分局,罰鍰,27,27
106,4,新北市樹林分局,罰鍰,35,35
106,4,新北市汐止分局,罰鍰,76,76
106,4,新北市淡水分局,罰鍰,124,124
106,4,新北市瑞芳分局,罰鍰,11,11
106,4,新北市金山分局,罰鍰,1,1
106,4,新北市政府警察局,没入攤架,0,0
106,4,新北市板橋分局,没入攤架,0,0
106,4,新北市海山分局,没入攤架,0,0
106,4,新北市中和分局,没入攤架,0,0
106,4,新北市永和分局,没入攤架,0,0
106,4,新北市三重分局,没入攤架,0,0
106,4,新北市新莊分局,没入攤架,0,0
106,4,新北市土城分局,没入攤架,0,0
106,4,新北市新店分局,没入攤架,0,0
106,4,新北市蘆洲分局,没入攤架,0,0
106,4,新北市三峽分局,没入攤架,0,0
106,4,新北市樹林分局,没入攤架,0,0
106,4,新北市汐止分局,没入攤架,0,0
106,4,新北市淡水分局,没入攤架,0,0
106,4,新北市瑞芳分局,没入攤架,0,0
106,4,新北市金山分局,没入攤架,0,0
106,4,新北市政府警察局,拆除攤架,1,1
106,4,新北市板橋分局,拆除攤架,0,0
106,4,新北市海山分局,拆除攤架,0,0
106,4,新北市中和分局,拆除攤架,0,0
106,4,新北市永和分局,拆除攤架,0,0
106,4,新北市三重分局,拆除攤架,0,0
106,4,新北市新莊分局,拆除攤架,1,1
106,4,新北市土城分局,拆除攤架,0,0
106,4,新北市新店分局,拆除攤架,0,0
106,4,新北市蘆洲分局,拆除攤架,0,0
106,4,新北市三峽分局,拆除攤架,0,0
106,4,新北市樹林分局,拆除攤架,0,0
106,4,新北市汐止分局,拆除攤架,0,0
106,4,新北市淡水分局,拆除攤架,0,0
106,4,新北市瑞芳分局,拆除攤架,0,0
106,4,新北市金山分局,拆除攤架,0,0
106,4,新北市政府警察局,勸導,1829,1829
106,4,新北市板橋分局,勸導,281,281
106,4,新北市海山分局,勸導,13,13
106,4,新北市中和分局,勸導,362,362
106,4,新北市永和分局,勸導,272,272
106,4,新北市三重分局,勸導,87,87
106,4,新北市新莊分局,勸導,105,105
106,4,新北市土城分局,勸導,45,45
106,4,新北市新店分局,勸導,244,244
106,4,新北市蘆洲分局,勸導,93,93
106,4,新北市三峽分局,勸導,125,125
106,4,新北市樹林分局,勸導,157,157
106,4,新北市汐止分局,勸導,22,22
106,4,新北市淡水分局,勸導,6,6
106,4,新北市瑞芳分局,勸導,15,15
106,4,新北市金山分局,勸導,2,2
106,5,新北市政府警察局,總計,3752,3752
106,5,新北市板橋分局,總計,580,580
106,5,新北市海山分局,總計,106,106
106,5,新北市中和分局,總計,465,465
106,5,新北市永和分局,總計,474,474
106,5,新北市三重分局,總計,228,228
106,5,新北市新莊分局,總計,352,352
106,5,新北市土城分局,總計,162,162
106,5,新北市新店分局,總計,438,438
106,5,新北市蘆洲分局,總計,268,268
106,5,新北市三峽分局,總計,168,168
106,5,新北市樹林分局,總計,200,200
106,5,新北市汐止分局,總計,128,128
106,5,新北市淡水分局,總計,149,149
106,5,新北市瑞芳分局,總計,26,26
106,5,新北市金山分局,總計,8,8
106,5,新北市政府警察局,罰鍰,2046,2046
106,5,新北市板橋分局,罰鍰,295,295
106,5,新北市海山分局,罰鍰,73,73
106,5,新北市中和分局,罰鍰,172,172
106,5,新北市永和分局,罰鍰,223,223
106,5,新北市三重分局,罰鍰,158,158
106,5,新北市新莊分局,罰鍰,256,256
106,5,新北市土城分局,罰鍰,112,112
106,5,新北市新店分局,罰鍰,204,204
106,5,新北市蘆洲分局,罰鍰,204,204
106,5,新北市三峽分局,罰鍰,59,59
106,5,新北市樹林分局,罰鍰,34,34
106,5,新北市汐止分局,罰鍰,102,102
